MutationCoverage,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.772668393782383,0.828571428571429,0.8984375,0.364532019704433,0.8,0.890566037735849,0.774539877300613,0.934018852,statistics,randoop
0.741580310880829,0.828571428571429,0.869791666666667,0.300492610837438,0.8,0.879245283018868,0.742331288343558,0.919451585,statistics,randoop
0.741580310880829,0.828571428571429,0.869791666666667,0.300492610837438,0.8,0.879245283018868,0.742331288343558,0.919451585,statistics,randoop
0.741580310880829,0.828571428571429,0.869791666666667,0.300492610837438,0.8,0.879245283018868,0.742331288343558,0.919451585,statistics,randoop
0.741580310880829,0.828571428571429,0.869791666666667,0.300492610837438,0.8,0.879245283018868,0.742331288343558,0.919451585,statistics,randoop
