MutationCoverage,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.483680981595092,0.166666666666667,0.412468827930175,0.415126050420168,0.424154025670945,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483844580777096,0.166666666666667,0.412468827930175,0.415966386554622,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483844580777096,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500407719488992,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.483762781186094,0.166666666666667,0.412468827930175,0.415126050420168,0.424737456242707,0.711670480549199,0.537013801756587,0.500135906496331,0.652804947,imaging,manual
0.865635054389459,0.95,0.891829982183762,0.527407407407407,0.803212851405622,0.953596287703016,0.96404399323181,0.81,0.953141499,lang,manual
0.866247893366018,0.95,0.892339017561721,0.528888888888889,0.806224899598394,0.951276102088167,0.964255499153976,0.810625,0.952943506,lang,manual
0.866247893366018,0.95,0.892339017561721,0.528888888888889,0.805220883534137,0.953596287703016,0.964255499153976,0.810625,0.953141499,lang,manual
0.866324498238088,0.95,0.892339017561721,0.528888888888889,0.806224899598394,0.953596287703016,0.964255499153976,0.810625,0.953141499,lang,manual
0.866171288493948,0.95,0.8925935352507,0.528888888888889,0.80421686746988,0.953596287703016,0.964255499153976,0.81,0.953009504,lang,manual
0.866247893366018,0.95,0.892339017561721,0.528888888888889,0.805220883534137,0.953596287703016,0.964255499153976,0.810625,0.953075502,lang,manual
0.866247893366018,0.95,0.892339017561721,0.528888888888889,0.805220883534137,0.953596287703016,0.964255499153976,0.810625,0.953075502,lang,manual
0.866171288493948,0.95,0.892339017561721,0.528888888888889,0.80421686746988,0.953596287703016,0.964255499153976,0.810625,0.953009504,lang,manual
0.866171288493948,0.95,0.892339017561721,0.52962962962963,0.806224899598394,0.951276102088167,0.96404399323181,0.81,0.953075502,lang,manual
0.866324498238088,0.95,0.892339017561721,0.52962962962963,0.805220883534137,0.953596287703016,0.964255499153976,0.810625,0.953075502,lang,manual
