MutationCoverage,InvertNegsMutator,ReturnValsMutator,ConditionalsBoundaryMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.80699481865285,0.885714285714286,0.8046875,0.477832512315271,1,0.924528301886792,0.857361963190184,0.922879177,statistics,manual
0.895725388601036,0.914285714285714,0.825520833333333,0.773399014778325,1,0.977358490566038,0.940184049079755,0.922879177,statistics,manual
0.898316062176166,0.914285714285714,0.828125,0.783251231527094,1,0.977358490566038,0.941717791411043,0.922879177,statistics,manual
0.898316062176166,0.914285714285714,0.828125,0.783251231527094,1,0.977358490566038,0.941717791411043,0.922879177,statistics,manual
0.878238341968912,0.914285714285714,0.817708333333333,0.70935960591133,1,0.977358490566038,0.923312883435583,0.922879177,statistics,manual
0.898316062176166,0.914285714285714,0.828125,0.783251231527094,1,0.977358490566038,0.941717791411043,0.922879177,statistics,manual
0.894430051813471,0.914285714285714,0.825520833333333,0.768472906403941,1,0.977358490566038,0.938650306748466,0.922879177,statistics,manual
0.896373056994819,0.914285714285714,0.825520833333333,0.773399014778325,1,0.977358490566038,0.941717791411043,0.922879177,statistics,manual
0.897668393782383,0.914285714285714,0.825520833333333,0.783251231527094,1,0.977358490566038,0.941717791411043,0.922879177,statistics,manual
0.832901554404145,0.914285714285714,0.807291666666667,0.551724137931034,1,0.928301886792453,0.891104294478528,0.922879177,statistics,manual
