MutationCoverage,ReturnValsMutator,ConditionalsBoundaryMutator,VoidMethodCallMutator,IncrementsMutator,NegateConditionalsMutator,MathMutator,LineCoverage,Project,Tool
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1400835586,0.2277170788,0.1410018553,0.0678899083,0.1612903226,0.1592256025,0.1196172249,0.318034066,bcel,randoop
0.1528631113,0.2863714779,0.1317254174,0.0546788991,0.1935483871,0.1730541288,0.1244019139,0.456897673,bcel,randoop
0.1524944704,0.2886716504,0.1280148423,0.0539449541,0.1935483871,0.1722639273,0.1220095694,0.456897673,bcel,randoop
0.152740231,0.2892466935,0.1280148423,0.0550458716,0.188172043,0.1714737258,0.1244019139,0.456897673,bcel,randoop
0.1608503318,0.2938470385,0.1391465677,0.0601834862,0.1989247312,0.1821414461,0.1459330144,0.456897673,bcel,randoop
0.1542147948,0.2903967798,0.1391465677,0.0535779817,0.1989247312,0.1726590281,0.1315789474,0.456897673,bcel,randoop
0.1554435979,0.291546866,0.1372912801,0.0539449541,0.188172043,0.1777953378,0.1244019139,0.456897673,bcel,randoop
0.1532317523,0.2909718229,0.1280148423,0.0528440367,0.1935483871,0.1738443303,0.1244019139,0.456897673,bcel,randoop
0.1556893586,0.2903967798,0.1391465677,0.056146789,0.1935483871,0.1754247333,0.1291866029,0.456897673,bcel,randoop
0.1569181617,0.2898217366,0.1298701299,0.0634862385,0.1935483871,0.1742394311,0.1267942584,0.456897673,bcel,randoop
0.1544605554,0.2898217366,0.1298701299,0.0543119266,0.1935483871,0.1766100356,0.1244019139,0.456897673,bcel,randoop
0.1438928484,0.2650948821,0.146567718,0.0388990826,0.188172043,0.1777953378,0.0956937799,0.454752308,bcel,randoop
0.1447530106,0.2668200115,0.1447124304,0.04,0.188172043,0.1777953378,0.1004784689,0.454752308,bcel,randoop
0.1438928484,0.2650948821,0.146567718,0.0381651376,0.188172043,0.1785855393,0.0956937799,0.454752308,bcel,randoop
0.144138609,0.2639447959,0.146567718,0.039266055,0.1935483871,0.1785855393,0.0956937799,0.454752308,bcel,randoop
0.1448758909,0.2656699252,0.146567718,0.039266055,0.1935483871,0.1797708416,0.0956937799,0.454752308,bcel,randoop
0.1427869255,0.2639447959,0.1447124304,0.0370642202,0.188172043,0.1777953378,0.0933014354,0.454752308,bcel,randoop
0.1434013271,0.2627947096,0.1484230056,0.0388990826,0.188172043,0.1777953378,0.0933014354,0.454752308,bcel,randoop
0.1440157287,0.264519839,0.1484230056,0.0388990826,0.188172043,0.1785855393,0.0933014354,0.454752308,bcel,randoop
0.1430326862,0.2639447959,0.1447124304,0.0377981651,0.188172043,0.1777953378,0.0933014354,0.454752308,bcel,randoop
0.1442614893,0.2639447959,0.1484230056,0.0403669725,0.188172043,0.1781904386,0.0933014354,0.454752308,bcel,randoop
0.1120668469,0.1874640598,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1120668469,0.1874640598,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1120668469,0.1874640598,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1120668469,0.1874640598,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1121897272,0.1874640598,0.0723562152,0.0631192661,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1120668469,0.1874640598,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1120668469,0.1874640598,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1121897272,0.1880391029,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1121897272,0.1880391029,0.0723562152,0.0627522936,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1121897272,0.1874640598,0.0723562152,0.0631192661,0.1182795699,0.1256420387,0.0861244019,0.308087375,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1754730892,0.2714203565,0.1521335807,0.0895412844,0.1774193548,0.2094033979,0.1602870813,0.405668964,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1753502089,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2094033979,0.1602870813,0.405668964,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1754730892,0.2714203565,0.1521335807,0.0895412844,0.1774193548,0.2094033979,0.1602870813,0.405668964,bcel,randoop
0.1752273286,0.2714203565,0.1521335807,0.0891743119,0.1774193548,0.2090082971,0.1602870813,0.405668964,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1215286311,0.2461184589,0.0593692022,0.0455045872,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1217743917,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1343342552,0.0980861244,0.367182421,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.1217743917,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1343342552,0.0980861244,0.367182421,bcel,randoop
0.1216515114,0.2461184589,0.0593692022,0.0458715596,0.1344086022,0.1339391545,0.0980861244,0.367182421,bcel,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2546666667,0.4324324324,0.1142857143,0.1025641026,0.25,0.2170087977,0.1111111111,0.467821782,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.2706666667,0.5405405405,0.0857142857,0.0256410256,0.25,0.219941349,0,0.421617162,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.36,0.6351351351,0.0285714286,0.1794871795,0.375,0.2903225806,0.1851851852,0.565181518,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.2506666667,0.463963964,0.0285714286,0.0256410256,0.375,0.219941349,0.1111111111,0.462046205,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
0.296,0.536036036,0.1714285714,0.0854700855,0.375,0.2375366569,0.1111111111,0.514026403,cli,randoop
